# NETSPEED-BUDGET 前置：往下找「會出現遺失」的房主 netspeed
# PM 2026-09-22 裁決的順序：15000 ×2 輪 → 仍 0% 就 12000 → 找到就停 → 在那個值上做 budget A/B
# 劇本 experiments/round2-projectile.json（不改內容），加入者開火、20 次扣扳機/輪
# 房主＝副本 C:\Games\MetalRage Online 2，加入者＝主安裝
#
# 既有對照（同劇本同條件）：
#   10000 原廠 fc51fe12  16/71 ＝ 22.5%（逐輪最低 14.3%）   下限 -2D ≈ 40 bytes @497fps
#   30000 修補 dc2f824d  0/36 ＝ 0.0%                        下限 -2D ≈ 121 bytes
#
# 值 15000 房主 Engine.dll sha256: b0a3d9dd5b2ab12f   下限 -2D ≈ 60 bytes @497fps
#
# 格式：Rn 值 sha16 HitLoc=? Fire=? 缺口=? log=?
R1 15000 b0a3d9dd HitLoc=13 Fire=11 缺口=15.4%  log=run-163345.67.log  (房主 log 印 Client netspeed is 15000)
R2 15000 b0a3d9dd HitLoc=14 Fire=13 缺口=7.1%   log=run-164200.58.log

# 15000 合計：27 次扣扳機、缺 3 ＝ 11.1%
# → 找到會出現遺失的值，不必再降到 12000（PM 2026-09-22 的停損條件未觸發）
# 閾值形狀（@497fps）：40 bytes → 22.5% / 60 bytes → 11.1% / 121 bytes → 0%
#   連續衰減，不是硬閾值

# ===== 第 2 段：在 15000 上做 budget 的 A/B（PM 2026-09-22 指定，各 3 輪交錯）=====
# A ＝ 15000 不加 budget   sha256 b0a3d9dd5b2ab12f
# B ＝ 15000 ＋ budget     sha256 f98b601fa48100a9
# A 組先驗（本頁上半，同劇本同條件）：27 次扣扳機缺 3 ＝ 11.1%
# 先跑 B，一旦 budget 讓客戶端起不來可以立刻發現
B1 15000+budget f98b601f HitLoc=11 Fire=11 缺口=0.0%  log=run-170134.98.log  (19 步全過，客戶端正常 → 第 0 輪不會壞檢查同時通過)
A1 15000       b0a3d9dd HitLoc=15 Fire=13 缺口=13.3%  log=run-170958.62.log
B2 15000+budget f98b601f HitLoc=11 Fire=11 缺口=0.0%   log=run-171814.73.log
A2 15000       b0a3d9dd HitLoc=11 Fire=10 缺口=9.1%   log=run-172632.16.log
